,Actual Load
2024-06-02 07:30:00+02:00,38618.0
2024-06-02 07:45:00+02:00,39558.0
2024-06-02 08:00:00+02:00,40478.0
2024-06-02 08:15:00+02:00,41329.0
2024-06-02 08:30:00+02:00,41947.0
2024-06-02 08:45:00+02:00,43016.0
2024-06-02 09:00:00+02:00,43456.0
2024-06-02 09:15:00+02:00,44418.0
2024-06-02 09:30:00+02:00,45353.0
2024-06-02 09:45:00+02:00,46010.0
2024-06-02 10:00:00+02:00,46616.0
2024-06-02 10:15:00+02:00,47090.0
2024-06-02 10:30:00+02:00,47734.0
2024-06-02 10:45:00+02:00,48049.0
2024-06-02 11:00:00+02:00,48594.0
2024-06-02 11:15:00+02:00,49812.0
2024-06-02 11:30:00+02:00,50746.0
2024-06-02 11:45:00+02:00,51186.0
2024-06-02 12:00:00+02:00,51099.0
2024-06-02 12:15:00+02:00,50615.0
2024-06-02 12:30:00+02:00,50318.0
2024-06-02 12:45:00+02:00,49950.0
2024-06-02 13:00:00+02:00,49721.0
2024-06-02 13:15:00+02:00,49087.0
2024-06-02 13:30:00+02:00,48880.0
2024-06-02 13:45:00+02:00,48493.0
2024-06-02 14:00:00+02:00,47446.0
2024-06-02 14:15:00+02:00,47272.0
2024-06-02 14:30:00+02:00,47044.0
2024-06-02 14:45:00+02:00,46793.0
2024-06-02 15:00:00+02:00,46470.0
2024-06-02 15:15:00+02:00,46096.0
2024-06-02 15:30:00+02:00,45845.0
2024-06-02 15:45:00+02:00,46054.0
2024-06-02 16:00:00+02:00,46343.0
2024-06-02 16:15:00+02:00,45815.0
2024-06-02 16:30:00+02:00,45743.0
2024-06-02 16:45:00+02:00,46036.0
2024-06-02 17:00:00+02:00,46958.0
2024-06-02 17:15:00+02:00,46682.0
2024-06-02 17:30:00+02:00,46966.0
2024-06-02 17:45:00+02:00,47294.0
2024-06-02 18:00:00+02:00,48049.0
2024-06-02 18:15:00+02:00,47872.0
2024-06-02 18:30:00+02:00,47956.0
2024-06-02 18:45:00+02:00,48058.0
2024-06-02 19:00:00+02:00,48123.0
2024-06-02 19:15:00+02:00,47624.0
2024-06-02 19:30:00+02:00,47507.0
2024-06-02 19:45:00+02:00,47178.0
2024-06-02 20:00:00+02:00,47015.0
2024-06-02 20:15:00+02:00,46525.0
2024-06-02 20:30:00+02:00,46179.0
2024-06-02 20:45:00+02:00,45877.0
2024-06-02 21:00:00+02:00,45983.0
2024-06-02 21:15:00+02:00,45465.0
2024-06-02 21:30:00+02:00,45737.0
2024-06-02 21:45:00+02:00,45824.0
2024-06-02 22:00:00+02:00,46068.0
2024-06-02 22:15:00+02:00,45584.0
2024-06-02 22:30:00+02:00,45102.0
2024-06-02 22:45:00+02:00,44443.0
2024-06-02 23:00:00+02:00,43521.0
2024-06-02 23:15:00+02:00,42918.0
2024-06-02 23:30:00+02:00,42102.0
2024-06-02 23:45:00+02:00,41652.0
2024-06-03 00:00:00+02:00,41336.0
2024-06-03 00:15:00+02:00,41070.0
2024-06-03 00:30:00+02:00,40455.0
2024-06-03 00:45:00+02:00,40003.0
2024-06-03 01:00:00+02:00,39670.0
2024-06-03 01:15:00+02:00,39412.0
2024-06-03 01:30:00+02:00,39008.0
2024-06-03 01:45:00+02:00,38752.0
2024-06-03 02:00:00+02:00,39004.0
2024-06-03 02:15:00+02:00,38934.0
2024-06-03 02:30:00+02:00,38775.0
2024-06-03 02:45:00+02:00,38677.0
2024-06-03 03:00:00+02:00,38611.0
2024-06-03 03:15:00+02:00,38513.0
2024-06-03 03:30:00+02:00,38649.0
2024-06-03 03:45:00+02:00,38488.0
2024-06-03 04:00:00+02:00,39128.0
2024-06-03 04:15:00+02:00,39376.0
2024-06-03 04:30:00+02:00,39809.0
2024-06-03 04:45:00+02:00,40240.0
2024-06-03 05:00:00+02:00,41728.0
2024-06-03 05:15:00+02:00,42234.0
